"mnemonic"|"args"|"shortdescription"|"description"|"type"|"group"|"subdivision"|"family"|"subfamily"|"coding"|"operation"|"flags"|"notes"|"assemblertranslationsandvalidations"|"cpuvalidations"
"sqrt1msq.l"|"rdst,rsrc"|"Square root 1 minus square of long GPR"|"Calculate square root of 1 minus long $GPR^{2}$ with cordic coprocessor"|"2"|"A"|"11"|"Cordic"|"4"|"10 0000 r\_src r\_dst uuuuu 01 10100 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \& src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(1 - (r_{src+1} \# r_{src})^{2})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\  $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\ $\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt1msq.f"|"fdst,fsrc"|"Square root 1 minus square of FPR"|"Calculate square root of 1 minus $FPR^{2}$ with cordic coprocessor"|"2"|"A"|"11"|"Cordic"|"4"|"10 0000 r\_src r\_dst uuuuu 10 10100 uuuuu"|"$f_{dst} \longleftarrow_{32} sqrt(1 - f_{src}^{2}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sqrt1msq.d"|"fdst,fsrc"|"Square root 1 minus square of double FPR"|"Calculate square root of 1 minus double $FPR^{2}$ with cordic coprocessor"|"2"|"A"|"11"|"Cordic"|"4"|"10 0000 r\_src r\_dst uuuuu 11 10100 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \& src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(1 - (f_{src+1} \# f_{src})^2)$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt1psq.w"|"rdst,rsrc"|"Square root 1 plus $GPR^{2}$"|"Calculate square root of 1 plus $GPR^{2}$ with cordic coprocessor"|"2"|"A"|"12"|"Cordic"|"5"|"10 0000 r\_src r\_dst uuuuu 00 10101 uuuuu"|"$r_{dst} \longleftarrow_{32} sqrt(1 + r_{src}^{2}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|||"None."|"dst range: 0:31; src range: 0:31"
"sqrt1psq.l"|"rdst,rsrc"|"Square root 1 plus long $GPR^{2}$"|"Calculate square root of 1 plus long $GPR^{2}$ with cordic coprocessor"|"2"|"A"|"12"|"Cordic"|"5"|"10 0000 r\_src r\_dst uuuuu 01 10101 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \& src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(1 + (r_{src+1} \# r_{src})^{2})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\  $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\ $\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|||"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt1psq.f"|"fdst,fsrc"|"Square root 1 plus $FPR^{2}$"|"Calculate square root of 1 plus $FPR^{2}$ with cordic coprocessor"|"2"|"A"|"12"|"Cordic"|"5"|"10 0000 r\_src r\_dst uuuuu 10 10101 uuuuu"|"$f_{dst} \longleftarrow_{32} sqrt(1 + f_{src}^{2}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|||"None."|"dst range: 0:31; src range: 0:31"
"sqrt1psq.d"|"fdst,fsrc"|"Square root 1 plus double $FPR^{2}$"|"Calculate square root of 1 plus double $FPR^{2}$ with cordic coprocessor"|"2"|"A"|"12"|"Cordic"|"5"|"10 0000 r\_src r\_dst uuuuu 11 10101 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \& src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(1 + (f_{src+1} \# f_{src})^2)$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|||"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"atan.w"|"rdst,rsrc"|"Arctangent of GPR"|"Calculate arctangent of GPR with cordic coprocessor"|"2"|"A"|"13"|"Cordic"|"6"|"10 0000 r\_src r\_dst uuuuu 00 10110 uuuuu"|"$r_{dst} \longleftarrow_{32} atan(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"atan.l"|"rdst,rsrc"|"Arctangent of long GPR"|"Calculate arctangent of long GPR with cordic coprocessor"|"2"|"A"|"13"|"Cordic"|"6"|"10 0000 r\_src r\_dst uuuuu 01 10110 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} atan(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"atan.f"|"fdst,fsrc"|"Arctangent of FPR"|"Calculate arctangent of FPR with cordic coprocessor"|"2"|"A"|"13"|"Cordic"|"6"|"10 0000 r\_src r\_dst uuuuu 10 10110 uuuuu"|"$f_{dst} \longleftarrow_{32} atan(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"atan.d"|"fdst,fsrc"|"Arctangent of double FPR"|"Calculate arctangent of double FPR with cordic coprocessor"|"2"|"A"|"13"|"Cordic"|"6"|"10 0000 r\_src r\_dst uuuuu 11 10110 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} atan(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"atanh.w"|"rdst,rsrc"|"Hyperbolic arctangent of GPR"|"Calculate hyperbolic arctangent of GPR with cordic coprocessor"|"2"|"A"|"14"|"Cordic"|"7"|"10 0000 r\_src r\_dst uuuuu 00 10111 uuuuu"|"$r_{dst} \longleftarrow_{32} atanh(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"atanh.l"|"rdst,rsrc"|"Hyperbolic arctangent of long GPR"|"Calculate hyperbolic arctangent of long GPR with cordic coprocessor"|"2"|"A"|"14"|"Cordic"|"7"|"10 0000 r\_src r\_dst uuuuu 01 10111 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} atanh(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"atanh.f"|"fdst,fsrc"|"Hyperbolic arctangent of FPR"|"Calculate hyperbolic arctangent of FPR with cordic coprocessor"|"2"|"A"|"14"|"Cordic"|"7"|"10 0000 r\_src r\_dst uuuuu 10 10111 uuuuu"|"$f_{dst} \longleftarrow_{32} atanh(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"atanh.d"|"fdst,fsrc"|"Hyperbolic arctangent of double FPR"|"Calculate hyperbolic arctangent of double FPR with cordic coprocessor"|"2"|"A"|"14"|"Cordic"|"7"|"10 0000 r\_src r\_dst uuuuu 10 10111 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} atanh(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"ln.w"|"rdst,rsrc"|"Natural logarithm of GPR"|"Calculate natural logarithm of GPR with cordic coprocessor"|"2"|"A"|"15"|"Cordic"|"8"|"10 0000 r\_src r\_dst uuuuu 00 11000 uuuuu"|"$r_{dst} \longleftarrow_{32} ln(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"ln.l"|"rdst,rsrc"|"Natural logarithm of long GPR"|"Calculate natural logarithm of long GPR with cordic coprocessor"|"2"|"A"|"15"|"Cordic"|"8"|"10 0000 r\_src r\_dst uuuuu 01 11000 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} ln(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"ln.f"|"fdst,fsrc"|"Natural logarithm of FPR"|"Calculate natural logarithm of FPR with cordic coprocessor"|"2"|"A"|"15"|"Cordic"|"8"|"10 0000 r\_src r\_dst uuuuu 10 11000 uuuuu"|"$f_{dst} \longleftarrow_{32} ln(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"ln.d"|"fdst,fsrc"|"Natural logarithm of double FPR"|"Calculate natural logarithm of double FPR with cordic coprocessor"|"2"|"A"|"15"|"Cordic"|"8"|"10 0000 r\_src r\_dst uuuuu 10 11000 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} ln(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt.w"|"rdst,rsrc"|"Square root of GPR"|"Calculate square root of GPR with cordic coprocessor"|"2"|"A"|"16"|"Cordic"|"9"|"10 0000 r\_src r\_dst uuuuu 00 11001 uuuuu"|"$r_{dst} \longleftarrow_{32} sqrt(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sqrt.l"|"rdst,rsrc"|"Square root of long GPR"|"Calculate square root of long GPR with cordic coprocessor"|"2"|"A"|"16"|"Cordic"|"9"|"10 0000 r\_src r\_dst uuuuu 01 11001 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt.f"|"fdst,fsrc"|"Square root of FPR"|"Calculate square root of FPR with cordic coprocessor"|"2"|"A"|"16"|"Cordic"|"9"|"10 0000 r\_src r\_dst uuuuu 10 11001 uuuuu"|"$f_{dst} \longleftarrow_{32} sqrt(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sqrt.d"|"fdst,fsrc"|"Square root of double FPR"|"Calculate square root of double FPR with cordic coprocessor"|"2"|"A"|"16"|"Cordic"|"9"|"10 0000 r\_src r\_dst uuuuu 10 11001 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} sqrt(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"addi.w"|"rdst,rsrc,IMM"|"Add immediate"|"Add immediate to GPR"|"2"|"B"|"0"|"Arithmetic"|"0"|"10 0001 r\_src r\_dst iiiiiiiiiiiiiiii"|"$r_{dst}[31:0] \longleftarrow_{32} r_{src}[31:0] + sx_{32}(imm_{16})$ \\ $r_{dst}.c \longleftarrow_{1} alu_{0}.c$ \\ $r_{dst}.v \longleftarrow_{1} alu_{0}.v$ \\ $r_{dst}.z \longleftarrow_{1} alu_{0}.z$ \\ $r_{dst}.n \longleftarrow_{1} alu_{0}.n$ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"IMM range: -32768:32767"|"dst range: 0:31; src range: 0:31"
